,Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
249,2019,Frozen II,164.81,8052,popular,"Family, Animation, Adventure, Comedy, Fantasy"
250,2021,Swim,164.69,27,popular,"Horror, Action"
251,2021,Mutation on Mars,164.62,22,average,"Drama, Science Fiction"
252,2021,Zone 414,164.57,151,not_popular,"Science Fiction, Thriller, Mystery"
253,2011,Harry Potter and the Deathly Hallows: Part 2,163.78,16964,popular,"Fantasy, Adventure"
254,2015,Avengers: Age of Ultron,163.61,19473,popular,"Action, Adventure, Science Fiction"
255,2017,Thor: Ragnarok,163.56,17313,popular,"Action, Adventure, Fantasy, Science Fiction"
256,2019,It Chapter Two,162.98,6739,average,"Horror, Fantasy"
257,1994,The Lion King,162.05,15064,popular,"Family, Animation, Drama"
258,2021,King Richard,161.55,845,popular,"Drama, History"
259,2021,Last Night in Soho,161.49,1360,popular,"Thriller, Horror, Mystery"
260,1992,Batman Returns,161.32,5075,average,"Action, Fantasy"
261,2010,The Twilight Saga: Eclipse,161.16,7381,below_avg,"Adventure, Fantasy, Drama, Romance"
262,2021,Wild Indian,161.07,21,below_avg,"Crime, Drama, Thriller"
263,2012,Project X,160.9,5048,average,Comedy
264,2021,The Protégé,160.7,531,average,Action
265,2021,Ida Red,160.58,25,not_popular,"Crime, Thriller, Drama, Action"
266,2013,The Haunting of Helena,159.58,119,not_popular,"Horror, Thriller"
267,2020,Vanguard,159.42,395,below_avg,"Action, Adventure, Crime"
268,2003,Pirates of the Caribbean: The Curse of the Black Pearl,159.24,17095,popular,"Adventure, Fantasy, Action"
269,2021,"The Simpsons: The Good, the Bart, and the Loki",159.14,510,popular,"Animation, Comedy, Family"
270,2021,The Marksman,158.64,1118,average,"Action, Thriller, Crime"
271,2021,Vicky and Her Mystery,158.14,287,popular,"Adventure, Family, Drama"
272,2019,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,158.09,362,popular,"Animation, Adventure, Comedy, Fantasy"
273,2021,7 Prisoners,158.07,216,average,"Drama, Crime"
274,2022,11M,157.39,11,below_avg,Documentary
275,2021,Seobok: Project Clone,156.42,110,popular,"Science Fiction, Action"
276,2004,Shrek 2,155.92,9736,popular,"Animation, Family, Comedy, Fantasy, Adventure"
277,2010,Percy Jackson & the Olympians: The Lightning Thief,155.79,6222,below_avg,"Adventure, Fantasy, Family"
278,2016,Your Name.,155.48,8426,popular,"Romance, Animation, Drama"
279,2021,Chief Daddy 2: Going for Broke,155.4,59,not_popular,Comedy
280,2016,Captain America: Civil War,155.39,19474,popular,"Adventure, Action, Science Fiction"
281,2019,Joker,155.06,20016,popular,"Crime, Thriller, Drama"
282,2012,Jack Reacher,154.98,5678,average,"Crime, Drama, Thriller, Action"
283,2022,The Invisible Thread,154.77,43,average,"Comedy, Drama"
284,2021,SAS: Red Notice,154.1,344,not_popular,"Drama, Action, Thriller"
285,2020,Mulan,153.97,5520,average,"Adventure, Fantasy, Drama"
286,2022,I Want You Back,153.82,89,below_avg,"Comedy, Romance"
287,2006,Pirates of the Caribbean: Dead Man's Chest,152.96,13140,popular,"Adventure, Fantasy, Action"
288,2009,Ninja Assassin,152.29,1115,below_avg,Action
289,2013,The Wolf of Wall Street,152.1,19325,popular,"Crime, Drama, Comedy"
290,2021,Hilda and the Mountain King,151.98,50,popular,"Animation, Adventure, Fantasy, Family, TV Movie"
291,2021,Rurouni Kenshin: The Beginning,151.97,252,popular,"Action, Adventure, Drama"
292,2021,Minnal Murali,151.51,192,popular,"Action, Adventure, Comedy"
293,2019,Pokémon: Mewtwo Strikes Back - Evolution,150.99,366,average,"Animation, Adventure, Fantasy, Action, Family"
294,2021,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,150.74,4,average,"Animation, Action, Adventure, Fantasy"
295,2014,Teenage Mutant Ninja Turtles,150.43,5774,not_popular,"Science Fiction, Action, Adventure, Comedy"
296,2015,Fifty Shades of Grey,150.02,10087,not_popular,"Drama, Romance, Thriller"
297,2021,Never Back Down: Revolt,149.86,45,average,Action
298,2021,Wish Dragon,149.83,783,popular,"Animation, Family, Comedy, Fantasy"
299,2002,Ice Age,149.75,10875,popular,"Animation, Comedy, Family, Adventure"
300,2019,Fast & Furious Presents: Hobbs & Shaw,149.51,5643,average,"Action, Adventure, Comedy"
301,1999,Toy Story 2,149.03,11384,popular,"Animation, Comedy, Family"
302,2021,Sweet Girl,148.93,850,average,Action
303,2021,The Stronghold,148.88,710,popular,Thriller
304,2021,Spirit Untamed,148.8,350,popular,"Animation, Adventure, Family, Western"
305,2021,Tom Clancy's Without Remorse,148.33,1843,average,"Action, Thriller"
306,2010,Harry Potter and the Deathly Hallows: Part 1,148.18,15751,popular,"Adventure, Fantasy"
307,2021,Injustice,148.17,497,popular,"Animation, Science Fiction, Fantasy, Action"
308,2021,Nobody Sleeps in the Woods Tonight 2,148.01,148,not_popular,"Horror, Thriller, Comedy"
309,2021,American Badger,147.77,26,not_popular,Action
310,2021,Evangelion: 3.0+1.0 Thrice Upon a Time,147.76,468,popular,"Animation, Action, Science Fiction, Drama"
311,2021,LOL Surprise: The Movie,147.7,87,average,"Animation, Family"
312,2009,Coraline,146.97,5590,popular,"Animation, Family, Fantasy"
313,2020,How I Became a Superhero,146.61,350,below_avg,"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy"
315,2018,Venom,145.85,12992,average,"Science Fiction, Action"
316,2021,The Last Mercenary,145.72,462,average,"Action, Comedy"
317,2011,Cars 2,145.29,6120,below_avg,"Animation, Family, Adventure, Comedy"
318,2022,Downfall: The Case Against Boeing,144.83,55,popular,Documentary
319,2007,Ratatouille,144.8,13683,popular,"Animation, Comedy, Family, Fantasy"
320,2021,Mickey and Minnie Wish Upon a Christmas,144.6,81,popular,Animation
321,1993,Dragon Ball Z: Broly – The Legendary Super Saiyan,144.38,638,popular,"Animation, Science Fiction, Action"
323,2022,Death on the Nile,143.64,551,average,"Mystery, Crime, Drama, Thriller"
324,2021,Army of the Dead,143.49,2905,below_avg,"Action, Crime, Horror, Thriller"
325,2021,Home Sweet Home Alone,143.38,375,not_popular,"Family, Comedy"
326,2009,Carriers,142.57,1033,below_avg,"Action, Drama, Horror, Science Fiction, Thriller"
327,2016,Boyka: Undisputed IV,142.38,974,average,"Action, Drama"
328,2009,2012,141.75,10288,not_popular,"Action, Adventure, Science Fiction"
329,2021,Why Women Cheat,141.7,3,not_popular,Romance
330,2016,Sing,141.06,6642,average,"Animation, Comedy, Family, Music"
331,2011,Green Lantern,140.8,6080,not_popular,"Adventure, Action, Thriller, Science Fiction"
332,2020,Peninsula,140.74,1830,average,"Action, Horror, Thriller"
333,2015,Ted 2,139.67,6068,below_avg,Comedy
334,1985,High School Teacher: Maturing,139.47,7,not_popular,Drama
335,2017,Wonder Woman,139.31,17438,popular,"Action, Adventure, Fantasy"
336,2022,A Day to Die,139.22,9,not_popular,"Action, Thriller, Crime"
337,2021,Cosmic Sin,138.8,420,not_popular,"Action, Adventure, Science Fiction"
338,2007,Pirates of the Caribbean: At World's End,138.46,11783,popular,"Adventure, Fantasy, Action"
339,2010,Legion,138.38,2031,not_popular,"Horror, Action, Fantasy"
340,2019,Rascal Does Not Dream of a Dreaming Girl,138.23,352,popular,"Animation, Comedy, Romance, Drama, Fantasy"
341,2021,Peter Rabbit 2: The Runaway,138.18,517,popular,"Family, Comedy, Adventure, Animation, Fantasy"
342,2013,Dragon Ball Z: Battle of Gods,138.02,1193,average,"Animation, Action, Science Fiction"
343,2021,My Little Pony: A New Generation,137.82,190,popular,"Animation, Family, Fantasy, Comedy, Music, Adventure"
344,2021,Redemption Day,137.58,194,below_avg,Action
345,2012,Journey 2: The Mysterious Island,137.22,3447,below_avg,"Adventure, Action, Science Fiction"
